Nama;Address;Type;Class;District;Province;Hospital
Rumkit Tk IV Slamet Riyadi Surakarta;Jl. Slamet Riyadi 321,Surakarta;A;4;Surakarta;Jawa Tengah;rs
RS Jiwa Surakarta;Jl. K.H. Dewantoro 80,Surakarta;B;A;Surakarta;Jawa Tengah;rs
RSU Panti Waluyo;Jl. Jen A Yani No.1,Surakarta;A;C;Surakarta;Jawa Tengah;rs
RS Islam Kustati;Jl. Kapt.Mulyadi No.249,Surakarta;A;C;Surakarta;Jawa Tengah;rs
RSU Kasih Ibu;Jl. Slamet Riyadi 404,Surakarta;A;C;Surakarta;Jawa Tengah;rs
RSUD Kota Surakarta;Jl. P.Lumban Tobing No.10,Surakarta;A;D;Surakarta;Jawa Tengah;rs
Rumkit Tk. IV Salatiga;Jl. Dr Muwardi Salatiga;A;4;Salatiga;Jawa Tengah;rs
Rumkit Tk.III Bhakti Wira Tamtama Smg;Jl. Dr. Sutomo No.17,Semarang;A;3;Kota Semarang;Jawa Tengah;rs
RS Jiwa Dr. Amino Gondohutomo;Jl. Brigjen Sudiarto,Semarang;B;A;Kota Semarang;Jawa Tengah;rs
RS Panti Wilasa II;Jl. Dr. Cipto 50,Semarang;A;C;Kota Semarang;Jawa Tengah;rs
RSUD Kota Semarang;Jl. Fatmawati Raya No.1,Semarang;A;B;Kota Semarang;Jawa Tengah;rs
RSUD Kardinah;Jl. KS Tubun No.4,Tegal;A;B;Kota Tegal;Jawa Tengah;rs
RS Mitra Siaga;Jl. Pala Raya No.54,Tegal;A;C;Kota Tegal;Jawa Tengah;rs
Rumkit Tk.IV Tegal;Jl. Raya Pagongan Tegal;A;4;Kota Tegal;Jawa Tengah;rs
RSK Bedah Onkologi;Jl. Galaxy Bumi Permai Blok A2 No.7,Surabaya;K;C;Kota Surabaya;Jawa Timur;rs
"RSU &quot;Kanjuruhan&quot;Kepanjen";Jl. Panji No. 100 Kepanjen, Malang;A;B;Malang;Jawa Timur;rs
RS Kristen Mojowarno;Jl. Merdeka No.59 Mojowarno, Jombang;A;C;Jombang;Jawa Timur;rs
RS Panti Waluya Sawahan;Jl. Nusakambangan No.56, Malang;A;C;Kota Malang;Jawa Timur;rs
RSUD Lawang;Jl. RA Kartini 5, Lawang Kab. Malang;A;D;Malang;Jawa Timur;rs
RSUD Genteng;Jl. Hasanudin No.98,Genteng;A;C;Banyuwangi;Jawa Timur;rs
RSUD Sumberrejo;Jl. Raya No.231 Sumberrejo,Bojonegoro;A;D;Bojonegoro;Jawa Timur;rs
RSUD Kab. Sampang;Jl. Rajawali No. 10, Sampang;A;C;Sampang;Jawa Timur;rs
RSK Anak & P.Dalam Banyuwangi;Jl. Basuki Rachmat Banyuwangi;P;C;Banyuwangi;Jawa Timur;rs
RS Budi Rahayu;Jl. Jend.A Yani 18 Blitar;A;C;Kota Blitar;Jawa Timur;rs
RSUD Ibnu Sina Kab. Gresik;Jl. Dr. W Sudiro Husodo No.243 B, Gresik;A;B;Gresik;Jawa Timur;rs
RS Mardi Waluyo;Jl. Raya Kalianget No.1, Kab Sumenep;RSI Garam Kalianget;RSU;Sumenep;Jawa Timur;rs
RS Mata Undaan;Jl. Undaan Kulon 19 Surabaya;Khusus Mata;B;Kota Surabaya;Jawa Timur;rs
RS Al-irsyad;Jl. KH.Mansyur 210 Surabaya;A;C;Kota Surabaya;Jawa Timur;rs
RSU Dr. Soedomo Trenggalek;Jl. Dr Soetomo No. 2 Trenggalek;A;C;Trenggalek;Jawa Timur;rs
RS PHC;Jl. Prapat Kurung selatan no 1;RSU;B;Kota Surabaya;Jawa Timur;rs
RSUD Kab. Jombang;Jl. KHW Hasyim 52, Jombang;A;B;Jombang;Jawa Timur;rs
RSU Dr. R Koesma Tuban;Jl. Dr W S Husodo No.800, Tuban;A;B;Tuban;Jawa Timur;rs
RSU An-Nisaa;Jl. Suparyono Timur No.1,Bajang Talun-Blitar;RSU;D;Kota Blitar;Jawa Timur;rs
RSUD Bhakti Dharma Husada;Jl. Raya Kendung No.115-117, Surabaya;A;C;Kota Surabaya;Jawa Timur;rs
RS PT Semen Gresik;Jl. R A Kartini No. 280 Gresik;A;C;Gresik;Jawa Timur;rs
RSU Haji Surabaya;Jl. Manyar Kertoadi Surabaya;A;B;Surabaya;Jawa Timur;rs
RSUD kab, Pacitan;Jl. Jen A Yani No. 51 Pacitan;A;C;Pacitan;Jawa Timur;rs
RSU Blambangan;Jl. Istiqlah No. 49 Banyuwangi;A;C;Banyuwangi;Jawa Timur;rs
RSUD dr. Abdoer Rahem Situbondo;Jl. Anggrek No. 68 Situbondo;A;C;Situbondo;Jawa Timur;rs
RSU Dr. R. Sosodoro Djatikoesoemo;Jl. Dr Wahidin No.40, Bojonegoro;A;B;Bojonegoro;Jawa Timur;rs
RS Islam Surabaya Jemursari;Jl. Jemursai 51 - 57, Surabaya;A;B;Surabaya;Jawa Timur;rs
RS Syuhada Haji;Jl. Mojo No.12 Pakunden-Blitar;A;-;Kota Blitar;Jawa Timur;rs
Rumkit Tk.III Baladika Husada Jember;Jl. PB Sudirman No. 49 Jember;A;III;Jember;Jawa Timur;rs
RS William Booth;Jl. Let Jen S Parman 5,Semarang;A;C;Kota Semarang;Jawa Tengah;rs
RSUD Dr. Harjono S Ponorogo;Jl. Ciptomangunkusumo Ponorogo;A;B;Ponorogo;Jawa Timur;rs
RSUD Dr Iskak Tulungagung;Jl. Dr. W Sudirohusudo, Tulungagung;A;B;Tulungagung;Jawa Timur;rs
RSU Islam Orpeha;Jl. KHR Abdul Fatah Tulungagung;A;C;Tulungagung;Jawa Timur;rs
RSUD Ngudi Waluyo Wlingi;Jl. Dr. Sucipto No.5 Wlingi;A;B;Blitar;Jawa Timur;rs
RSU Pare;Jl. Pahlawan Kusuma Bangsa No.1, Pare;A;B;Kediri;Jawa Timur;rs
RSU Dr. Haryoto Lumajang;Jl. Basuki Rahmat No.5, Lumajang;A;B;Lumajang;Jawa Timur;rs
RSU Dr. Soebandi;Jl. Dr. Soebandi No.124, Jember;A;B;Jember;Jawa Timur;rs
RSTP Jember;Jl. Nusa Indah No. 28 Jember;F;B;Jember;Jawa Timur;rs
RS Utama Husada;Jl. Manggar No.134 Tegalsari, Ambulu Jember;A;C;Jember;Jawa Timur;rs
RSUD Kalisat Kab.Jember;Jl. M.H.Thamrin No.31 Jember;A;D;Jember;Jawa Timur;rs
RSUD Balung;Jl. Rambipuji 19, Balung Jember;A;C;Jember;Jawa Timur;rs
RSUD Dr. H.Koesnadi;Jl. Piere Tendean Bondowoso;A;B;Bondowoso;Jawa Timur;rs
RSU Waluyo Jati Kraksaan;Jl. Dr Sutomo No. 1 Kraksaan;A;C;Probolinggo;Jawa Timur;rs
RSUD Bangil;Jl. Raci - Bangil;A;C;Pasuruan;Jawa Timur;rs
RSUD Sidoarjo;Jl. Mojopahit No.667 Sidoarjo;A;B;Sidoarjo;Jawa Timur;rs
RS Pusdik Polri Porong;Pusdik Sabhara Porong;A;4;Sidoarjo;Jawa Timur;rs
RS Kusta Sumberglagah;Sumberglagah Pacet Mojokerto;G;C;Mojokerto;Jawa Timur;rs
RSU Prof Dr Soekandar;Jl. Hayam Wuruk 25 Mojosari;A;B;Mojokerto;Jawa Timur;rs
RSAB Muslimat;Jl. U Sumohardjo 32-34 Jombang;O;D;Jombang;Jawa Timur;rs
RSUD Nganjuk;Jl. Dr. Sutomo 62, Nganjuk;A;B;Nganjuk;Jawa Timur;rs
RSU Kertosono;Jl. Supriadi No. 29 Kertosono.;A;C;Nganjuk;Jawa Timur;rs
RSTP Dungus;Jl. Raya Dungus - Wungu, Madiun;F;C;Madiun;Jawa Timur;rs
RSUD Panti Waluyo;Jl. A Yani Km 2 Caruban Madiun;A;C;Madiun;Jawa Timur;rs
RSU Dr. Saydiman Magetan;Jl. Pahlawan No.2 Magetan;A;C;Magetan;Jawa Timur;rs
RSU Dr. Soeroto Ngawi;Jl. Dr Wahidin 27, Ngawi;A;C;Ngawi;Jawa Timur;rs
RSUD Padangan;Jl. Dr. Soetomo No.02 Padangan,Bojonegoro;A;D;Bojonegoro;Jawa Timur;rs
RSUD Syarifah Ambarni Rato Ebuh;Jl. Pemuda Kaffa No. 9 Bangkalan;A;B;Bangkalan;Jawa Timur;rs
RS AL Batuporon;Jl. Mawar Madura Kab Bangkalan;A;4;Bangkalan;Jawa Timur;rs
RSUD Pamekasan;Jl. Raya Panglegur No.4, Pamekasan;A;B;Pamekasan;Jawa Timur;rs
RSU Muh Anwar Sumenep;Jl. Dr Cipto No. 42 Sumenep;A;C;Sumenep;Jawa Timur;rs
RSU Gambiran;Jl. KH Wahid Hasyim 64 Kediri;A;B;Kota Kediri;Jawa Timur;rs
Rumkit Tk.IV Kediri;Jl. Mayjen SungkoNo. 44, Kediri;A;4;Kota Kediri;Jawa Timur;rs
RS Bhayangkara Kediri;Jl. Kombes Pol Duryat 17 Kediri;A;3;Kota Kediri;Jawa Timur;rs
RS Kusta Kediri;Jl. Veteran No. 48, Kediri;G;B;Kota Kediri;Jawa Timur;rs
Rumkit Tk.II Dr. Soepraoen;Jl. Sodanco Supriyadi No.22,Malang;A;2;Kota Malang;Jawa Timur;rs
RSU Marsudi Waluyo;Jl. Raya Mondoroko Km. 9 Singosari Malang;A;C;Kota Malang;Jawa Timur;rs
RS Lanuma Abdul Saleh;Jl. Dr. M. Munir No.18, Malang;A;4;Kota Malang;Jawa Timur;rs
RS Islam Malang;Jl. M. T. Haryono No. 139 Malang;A;C;Kota Malang;Jawa Timur;rs
RSU Dr. Moh Saleh Probolinggo;Jl. Panjaitan No.65 Probolinggo;A;B;Kota Probolinggo;Jawa Timur;rs
RSUD Tongas;Jl. Raya Tongas No. 229,Probolinggo;A;D;Kota Probolinggo;Jawa Timur;rs
RSU Dr. R.Soedarsono Pasuruan;Jl. Dr Wahidin Sudirohusodo No. 1-4 Pasuruan;A;C;Kota Pasuruan;Jawa Timur;rs
RSU Dr. Wahidin S Husodo;Jl. Gajah Mada 100 Mojokerto;A;C;Mojokerto;Jawa Timur;rs
Rumkitban Mojokerto;Jl. R Wijaya 58 Mojokerto;A;4;Mojokerto;Jawa Timur;rs
RS Islam Sakinah;Jl. RA Basuni No.12 Mojokerto;A;C;Mojokerto;Jawa Timur;rs
RSUD RA.Basoeni;Jl. Raya Gedeg No.17,Kab.Mojokerto;A;C;Mojokerto;Jawa Timur;rs
RSU Dr. Soedono Madiun;Jl. Dr. Soetomo 59, Madiun;A;B;Kota Madiun;Jawa Timur;rs
RS Rumkit Tk.IV Madiun;Jl. Pahlawan No. 79 Madiun;A;4;Kota Madiun;Jawa Timur;rs
RS Lanuma Iswahyudi;Lanud Iswahyudi Magetan;A;3;Kota Madiun;Jawa Timur;rs
RSUD Kota Madiun;Jl. Campursari No.12,Madiun;A;C;Kota Madiun;Jawa Timur;rs
RSU Dr. Soetomo;Jl. Prof Dr. Moestopo Surabaya;A;A;Surabaya;Jawa Timur;rs
RS Al Dr Ramelan;Jl. Gadung No. 1 Surabaya;A;1;Surabaya;Jawa Timur;rs
RS Al Tanjung Perak;Jl. Laksda M.Nazir No.56,Surabaya;A;3;Surabaya;Jawa Timur;rs
RS Islam Surabaya;Jl. Jend A Yani 2-4 Surabaya;A;C;Surabaya;Jawa Timur;rs
Rumkit Tk III Brawijaya,Sby;Jl. Kesatrian No.17 Surabaya;A;3;Surabaya;Jawa Timur;rs
RS AL Pal Surabaya;Jl. Taruna 66-68 Ujung Surabaya;A;4;Surabaya;Jawa Timur;rs
RS AL Gunungsari;Jl. Golf No. 1 Surabaya;A;3;Surabaya;Jawa Timur;rs
RS AL Juanda;Jl. Bachtiar Yahya No.1,Juanda,Surabaya;A;4;Surabaya;Jawa Timur;rs
RS TNI AU Soemitro;Jl. Serayu 17 Surabaya;A;4;Surabaya;Jawa Timur;rs
RS AL Kodikal;Jl. Morokrembangan Surabaya;A;4;Surabaya;Jawa Timur;rs
RS Jiwa Menur;Jl. Menur 120 Surabaya;B;A;Surabaya;Jawa Timur;rs
RSIA Siti Aisyiah;Jl. Pacar Keling No.15A Surabaya;O;C;Surabaya;Jawa Timur;rs
RSUD Dr. Mohamad Soewandhie;Jl. Tambakrejo 45-47 Surabaya;A;B;Surabaya;Jawa Timur;rs
RS Islam Darus Syifa;Jl. Raya Benowo No.5,Surabaya;A;C;Surabaya;Jawa Timur;rs
RS Bhayangkara H.S.Samsoeri Mertojoso;Jl. Achmad Yani No.16,Surabaya;A;4;Surabaya;Jawa Timur;rs
RSUD Landak;Jl. Pemuda Ngabang;A;D;Landak;Kalimantan Barat;rs
RSUD Kab.Bengkayang;Jl. Sanggau Ledo No.20 Bengkayang;A;D;Bengkayang;Kalimantan Barat;rs
RSU Dr Rubini Mempawah;Jl. Dr Rubini Mempawah;A;C;Pontianak;Kalimantan Barat;rs
RSU Sanggau;Jl. Jend Sudirman Sanggau;A;C;Sanggau;Kalimantan Barat;rs
RSU Dr. Agusdjam Ketapang;Jl. Panjaitan No.1 Ketapang;A;C;Ketapang;Kalimantan Barat;rs
RSUD Dr H Soemarno S;Jl. Tambun Bungai Kuala Kapuas;A;C;Kapuas;Kalimantan Tengah;rs
RSUD Poso;Jl. Jen.Sudirman No.33 Poso;A;C;Poso;Sulawesi Tengah;rs
RSU Muara Teweh;Jl. Yetro Sinseng Muara Teweh;A;C;Barito Utara;Kalimantan Tengah;rs
RSUD Sukamara;Jl. Tjilik Riwut KM 5,5 Sukamara;A;D;Sukamara;Kalimantan Tengah;rs
RSUD Balangan;Jl. Lingkar Timur Km.1,7 Paringin Kab.Balangan;A;D;Balangan;Kalimantan Selatan;rs
RSUD Sultan Imanuddin;Jl. St Syahrir 17 Pangkalan Bun;A;C;Waringin Barat;Kalimantan Tengah;rs
RSUD Kuala Kurun;Jl. Cilik Riwut No.43 Kuala Kurun Kalteng;A;D;Kapuas;Kalimantan Tengah;rs
RSUD Buntok;Jl. Patianom No.6, Buntok;A;C;Barito Selatan;Kalimantan Tengah;rs
RSUD Tamiang Layang;Jl. Nansarunai Tamiang Layang;A;D;Barito Selatan;Kalimantan Tengah;rs
RSUD Puruk Cahu;Jl. A. Yani No. 497, Puruk Cahu;A;D;Barito Utara;Kalimantan Tengah;rs
RSUD Lamandau;Jl. Tjilik Riwut No.11,Nanga Bulik;A;D;Lamandau;Kalimantan Tengah;rs
RSUD Kuala Pembuang;Jl. A.Yani No.30,Kuala Pembuang;A;D;Seruyan;Kalimantan Tengah;rs
RSUD Pulang Pisau;Jl. Pemda No. 107, Pulang Pisau;A;D;Pulang Pisau;Kalimantan Tengah;rs
RSUD Dr Doris Sylvanus;Jl. Tambun Bungai No.4 Palangkaraya;A;B;Palangka Raya;Kalimantan Tengah;rs
Rumkit Tk.IV Palangkaraya;Jl. Diponegoro Palangkaraya;A;4;Palangka Raya;Kalimantan Tengah;rs
RSJ Sambang Lihum;Jl. Purwosari Km 4 Tamban Kab Batola;B;A;Barito Kuala;Kalimantan Selatan;rs
RSUD Abdul Aziz/Marabahan;Jl. Jend Sudirman No.10,Marabahan;A;C;Barito Kuala;Kalimantan Selatan;rs
RSUD Tarakan;Jl. P. Irian Tengah,Tarakan;A;B;Tarakan;Kalimantan Timur;rs
RSUD Sangatta;Jl. Cut Nyak Dien No.1 Kutai Timur;A;C;Kutai Timur;Kalimantan Timur;rs
RSUD Kab. Nunukan;Jl. Sei Fatimah;A;D;Nunukan;Kalimantan Timur;rs
RS Bergerak Kab.Malinau;Langgap-Malinau Selatan;A;D;malinau;Kalimantan Timur;rs
RSUD Kab. Malinau;Jl. Raya Respen Tubu Kec. Malinau Utara Kab. Malinau;A;D;Malinau;Kalimantan Timur;rs
Rumkit Bhayangkara Balikpapan;Jl. Jend. Sudirman No.14, Balikpapan;A;4;Balikpapan;Kalimantan Timur;rs
RS Jiwa Atmamahusada Mahakam/Samarinda;Jl.Kakap No.23 Samarinda;B;B;Samarinda;Kalimantan Timur;rs
RSUD Kota Bontang;Jl. S. Parman No.01, Kota Bontang;A;B;Bontang;Kalimantan Timur;rs
RSUD H Boejasin Pelaihari;Jl. Hadji Boejasin No.68 Kab. Tanah Laut;A;C;Tanah Laut;Kalimantan Selatan;rs
RSUD Panglima Sebaya;Jl. Ciptomangunkusumo No.2 T Grogot;A;C;Pasir;Kalimantan Timur;rs
RSUD AM Parikesit Tenggarong;Jl. Imam Bonjol Tenggarong;A;B;Kutai Barat;Kalimantan Timur;rs
RS Harapan Insan Sendawar;Jl. Mawar Desa Sendawar Kutai;A;C;Kutai Barat;Kalimantan Timur;rs
RSUD Aji Batara Agung Dewa Sakti;Jl. Balikpapan - Handil II Samboja;A;C;Kutai Barat;Kalimantan Timur;rs
RSUD Tanjung Selor;Jl. Cendrawasih Tanjung.Selor;A;C;Kutai Timur;Kalimantan Timur;rs
RSU Dr. Abd.Rivai Berau;Jl. Pulau Panjang No.275 Tanjung Redeb;A;C;Berau;Kalimantan Timur;rs
RSUD Kab.Penajam Paser Utara;Jl. Propinsi Km.09 Kab.Penajam Paser Utara;A;C;Penajam Paser Utara;Kalimantan Timur;rs
Rumkit Tk.III Dr R Hardjanto;Jl. Tanjungpura I Balikpapan;A;3;Balikpapan;Kalimantan Timur;rs
RS Fatima Saumlaki;Jl.Komplek Misi Saumlaki Maluku Tenggara Barat;A;D;Maluku Tenggara;Maluku;rs
RS St Yusuph Elat;Kei Besar Kab Maluku Tenggara;A;D;Maluku Tenggara;Maluku;rs
RSK Bedah Bakti Rahayu;Jl. Ahmad Yani Ambon;Umum;D;Kota Ambon;Maluku;rs
RSU Piru;jln. Arteri Piru;A;D;Seram Bagian Barat;Maluku;rs
RSU Dr M Haulussy Ambon;Jl. Dr Kayadoe Ambon;A;B;Ambon;Maluku;rs
RSU Tual;Jl. Merdeka Ohoijang Tual;A;C;Maluku Tenggara;Maluku;rs
RSU Namlea;Jl. Anggrek Namlea Buru Utara;A;D;Maluku Tengah;Maluku;rs
RSUD Cendrawasih Dobo;Jl. Depnaker Km.6,Kepulauan Aru;A;D;Kepulauan Aru;Maluku;rs
RSUD Kab.Seram Bagian Timur (Bula);Jl. Wailola No.11-12 Bula,Kab.Seram Bag.Timur;A;D;Seram Bagian Timur;Maluku;rs
Rumkit Tk.III JA. Latumeten;Jl. Dr Tamaela No.2,Ambon;A;3;Ambon;Maluku;rs
RS AL Ambon;Daeral 9 Halong Ambon;A;4;Ambon;Maluku;rs
RS Lanu Patimura;Lanu Pattimura Ambon;A;4;Ambon;Maluku;rs
RSKD Ambon;Jl. Laksdya Leo Wattimena Ambon;B;B;Ambon;Maluku;rs
RS Islam Bina Warga;Jl. Pemuda No.131 Keluarahan Toboleu, Ternate;A;D;Kota Madya Ternate;Maluku Utara;rs
RS Medika Harifalm Ternate;Jl. Zainal Abidin Syah No.25, Ternate;A;D;Kota Ternate;Maluku Utara;rs
RSU Kota Tidore Kepulauan;Jl. Sultan mansyur No 11 Indonesiana Tidore maluku Utara;A;C;Kota Tidore Kpulauan;Maluku Utara;rs
RSUD Maba;Jl. Trans Halmahera Kota maba;A;D;Halmahera Timur;Maluku Utara;rs
RSUD Weda;Jl. Raya Weda, Kab. Halmahera Tengah;A;D;Halmahera tengah;Maluku Utara;rs
RSUD Kab. Pulau Morotai;Jl. Puskesmas No.5 Desa Yayasan;A;D;mOROTAI;Maluku Utara;rs
RSU Daerah Tobelo;Jl. Lanbouw Samsungi Tobelo Halmahera Utara;A;C;Halmahera Barat;Maluku Utara;rs
RSUD Jailolo;Jl.Raya Acango-Jailolo,Halmahera Barat;A;D;Halmahera Barat;Maluku Utara;rs
RS Lanu Morotai;Morotai Kab Maluku Utara;A;4;Halmahera Tengah;Maluku Utara;rs
RSUD Sanana;Jln. Dr. Sibarani - Falahu, Kep. Sula;A;D;Kepulauan Sula;Maluku Utara;rs
RSU Ternate;Jl. Tanah Tinggi Ternate;A;B;Ternate;Maluku Utara;rs
Rumkit Tk.IV Ternate;Jl. Ais Nasution No.2, Ternate;A;4;Ternate;Maluku Utara;rs
RSUD Patut Patuh Patju;Jl. H. Lalu Anggrat BA No. 2, Gerung;A;C;Lombok Barat;Nusa Tenggara Barat;rs
RSU Dr R Sudjono;Jl. Prof M Yamin SHNo.55 Selong;A;C;Lombok Timur;Nusa Tenggara Barat;rs
RSU Mataram;Jl. Pejanggik No.6, Mataram;A;B;Mataram;Nusa Tenggara Barat;rs
RSUD Kota Mataram;Jl. Bung Karna Pagutan Mataram;A;D;Mataram;Nusa Tenggara Barat;rs
RSU Praya;Jl. Basuki Rahmat No. 11 Praya;A;C;Lombok Tengah;Nusa Tenggara Barat;rs
RSU Sumbawa Besar;Jl. Garuda No. 5 Sumbawa Besar;A;C;Sumbawa;Nusa Tenggara Barat;rs
RSU Dompu;Jl. Kesehatan No. 1 Dompu, NTB;A;C;Dompu;Nusa Tenggara Barat;rs
RSU Raba;Jl. Langsat No. 1 Raba Kab Bima;A;C;Bima;Nusa Tenggara Barat;rs
Rumkit Tk.IV Wira Bhakti Mataram;Jl. Cokroaminoto 7 Mataram;A;4;Mataram;Nusa Tenggara Barat;rs
RS Jiwa Mataram;Jl. A Yani 1 Selagalas Mataram;B;B;Mataram;Nusa Tenggara Barat;rs
RS Bhayangkara Mataram;Jl. Langko No.64,Mataram;A;4;Mataram;Nusa Tenggara Barat;rs
RS ST Rafael Cancar;Cancar Ruteng,Kab.Manggarai;A;D;Manggarai;Nusa Tenggara Timur;rs
RSU Dr TC Hillers Maumere;Jl. Kesehatan Maumere;A;C;Sikka;Nusa Tenggara Timur;rs
RSU Soe;Jl. Boegenville No.7 Soe - Timor Tengah Selatan;A;D;Timor Tengah Selatan;Nusa Tenggara Timur;rs
RS Lendemoripa;Jl. El Tari No.2 Waikabubak;A;D;Sumba Barat;Nusa Tenggara Timur;rs
RS Kristen Lindimara;Jl. Prof.DR WZ. Johannes No.6,Waingapu;A;D;Sumba Timur;Nusa Tenggara Timur;rs
RSUD Naibonat;Jl. Timor Raya KM.37 Oelamasi, Kupang;A;C;Kab Kupang;Nusa Tenggara Timur;rs
RS Bukit Lewoleba;Lewoleba, Lembata NTT;A;-;Flores Timur;Nusa Tenggara Timur;rs
RSUD Kota Kupang;Jl. Timor Raya Pasir Panjang;A;C;Kupang;Nusa Tenggara Timur;rs
"RSUD Rote Ndao Ba&#39;a";Jl. Busa langga, Kab Kupang;A;D;Kupang;Nusa Tenggara Timur;rs
RSUD Dr. P.P Magretti Saumlaki;Jl. Ir. Soekarno - Poros Utama;A;D;Maluku Tenggara;Maluku;rs
RSU Waikabubak;Jl. Adhyaksa Km-IV,Sumba Barat;A;C;Sumba Barat;Nusa Tenggara Timur;rs
RSUD Waingapu;Jl. Adam Malik No.54, Hambala Waingapu;A;D;Sumba Timur;Nusa Tenggara Timur;rs
RSUD Kefamenanu;Jl. Letjen Suprapto Kefamenanu;A;D;Timor Tengah Utara;Nusa Tenggara Timur;rs
RSUD Belu;Jl. Dr Sutomo No. II Atambua;A;C;Belu;Nusa Tenggara Timur;rs
RS Penyangga Perbatasan Betun;Jl. Sukabihanawa Desa Kamanasa Kec.Malaka Tengah;A;D;Belu;Nusa Tenggara Timur;rs
RSUD Alor;Jl. Dr Sutomo Kalabahi Kab Alor;A;D;Alor;Nusa Tenggara Timur;rs
RSU Larantuka;Jl. Moh Hatta No.19,Kab.Flores Timur;A;D;Flores Timur;Nusa Tenggara Timur;rs
RSUD Lewoleba;Jl.Trans Lembata No.1,Lewoleba,Lembata;A;D;Flores Timur;Nusa Tenggara Timur;rs
RSUD Ende;Jl. Prof Dr. WZ.Johanes Ende;A;C;Ende;Nusa Tenggara Timur;rs
RSU Bajawa;Jl. Diponegoro No. 5, Bajawa;A;D;Ngada;Nusa Tenggara Timur;rs
RSU Ruteng;Jl. Diponegoro No.16,Kab Manggarai;A;D;Manggarai;Nusa Tenggara Timur;rs
RSU Prof Dr WZ Johanes;Jl. Dr Moch Hatta No. 19 Kupang;A;B;Kupang;Nusa Tenggara Timur;rs
RS Tk.IV Wirasakti Kupang;Jl. Dr.DR.Moch Hatta No.3,Kupang;A;4;Kupang;Nusa Tenggara Timur;rs
RS Bhayangkara;Jl. Nangka No. 54 Kupang;A;4;Kupang;Nusa Tenggara Timur;rs
RSU Oksibil;jl. Poros Kabiding No. 2 Oksibil;A;D;ASMAT;Papua;rs
RSU Merauke;Jl. SukarjowirjopraNo.to Merauke;A;C;Merauke;Papua;rs
RSU Wamena;Jl. Trikora Wamena;A;D;Merauke;Papua;rs
RSUD Paniai;Jl. Raya Madi KM.7,Paniai Timur;A;D;Paniai;Papua;rs
RSU Serui;Jl. Dr Sam Ratulangi Serui;A;D;Pemkab Yapen Waropen;Papua;rs
RSUD Kab. Mimika;Jl. Yos Sudarso Kab. Mimika;A;D;Mimika;Papua;rs
RSUD Kab.Keerom;Jl. Bhayangkara,Kp. Asyaman,Distrik Arso,Kab.Keerom;A;D;Keerom;Papua;rs
RS Jiwa Abepura;Jl. Kesehatan II Abepura;B;C;Jayapura;Papua;rs
RSU Manokwari;Jl. Bhayangkara No.I Manokwari;A;C;Kaimana;Papua Barat;rs
Rumkitban Manokwari;Jl. Brawijaya Kodim 1703 Manokwari;A;4;Kaimana;Papua Barat;rs
