Nama;Address;Type;Class;District;Province;Hospital
RS AL Manokwari;Jl. Serma Suwandi MaNo.kwari;A;4;Kaimana;Papua Barat;rs
RSUD Siak;Jl. Raja Kecik No.1 Kampung dalam,Siak Sri Indrapura;A;C;Siak;Riau;rs
RSUD.Dr. R.M. Pratomo Bagansiapiapi;Jl. Pahlawan No.13,Bagansiapiapi;A;C;Bengkalis;Riau;rs
RSU Puri Husada Tembilahan;Jl. Veteran 52,Hilir Tembilahan;A;C;Indragiri Hilir;Riau;rs
RS Tk IV Pekanbaru;Jl. Kesehatan No. 2,Pekanbaru;A;4;Pekanbaru;Riau;rs
RS Awal Bros Pekanbaru;Jl. Sudirman No.117,Pekanbaru;A;B;Pekanbaru;Riau;rs
RS Khusus Bedah & Kebidanan Syafira;Jl. Jenderal Sudirman No.134, Pekanbaru;O;B;riau;Riau;rs
RSUD Kec.Mandau;Jl. Stadion No.10 Duri,Bengkalis;A;D;Bengkalis;Riau;rs
RS Bina Kasih;Jl. Samanhudi No.3-5,Pekanbaru;A;C;Pekanbaru;Riau;rs
RSU Bangkinang;Jl. A Rahman Saleh,Bangkinang;A;C;Kampar;Riau;rs
RSUD dr. Rasidin Padang;Sei.Sapih Kec.Kuranji,Padang;A;C;Padang;Sumatera Barat;rs
RSUD Teluk Kuantan;Jl. Kesehatan No. 1 Sinambak;A;C;Kuantan Singingi;Riau;rs
RSU Indrasari Rengat;Jl. Lintas Timur Sumatera Rengat;A;C;Indragiri Hulu;Riau;rs
RSUD Selasih Riau;Kabupaten Pelalawan Propinsi Riau;A;C;Pelalawan;Riau;rs
RSUD Kab.Rokan Hulu;Jl. Syekh Ismail, Pasir Pengarayan;A;C;Rokan Hulu;Riau;rs
RSU Bengkalis;Jl. Kelapapati Tengah No.90, Bengkalis;A;D;Bengkalis;Riau;rs
RSUD Selat Panjang;Jl. Dorak - Selatpanjang 28753,Bengkalis;A;D;Bengkalis;Riau;rs
RS Kepolisian Pekanbaru;Jl. Kartini No.14,Pekanbaru;A;4;Pekanbaru;Riau;rs
RS Jiwa Tampan;Jl. H.R. Subrantas Km.12,5,Pekanbaru;B;A;Pekanbaru;Riau;rs
RS Bhayangkara Pekanbaru;Simpang Tiga,Pekanbaru;A;4;Pekanbaru;Riau;rs
RSU Dumai;Jl. Tanjung Jati No.4,Dumai;A;C;Dumai;Riau;rs
RSU Polewali;Jl. Dr Ratulangi 50 Polewali;A;C;Polewali Mandar;Sulawesi Barat;rs
RSU Mamuju Utara;Jl. Bukit Husada - Ako No. 10, Pasangakayu;A;D;Mamuju Utara;Sulawesi Barat;rs
RSU lapangan Minake;Minake Kecamatan Tandukkalua - Mamasa;Rumah Sakit Umum;-;Mamasa;Sulawesi Barat;rs
RSU Majene;Jl. Poros Majene, Mamuju;A;C;Majene;Sulawesi Barat;rs
RSUD Mamuju;Jl. Kurungan Bassi Mamuju;A;D;Mamuju;Sulawesi Barat;rs
RSUD Syekh Yusup Gowa;Jl. Dr. Wahidin HS No.48 Sungguminasa;A;B;Gowa;Sulawesi Selatan;rs
RSU Palopo;Jl. Samiun No.2 Palopo;A;C;Luwu;Sulawesi Selatan;rs
RSU Tenriawaru Bone;Jl. W.Sudirohusodo Watampone;A;B;Bone;Sulawesi Selatan;rs
RSUD HA. Sulthan Daeng Radja;Jl. Serikaya No. 17 Bulukumba;A;C;Bulukumba;Sulawesi Selatan;rs
RSU Prof.Dr. A Makkatutu;Jl. Teratai No.20 Bantaeng;A;C;Bantaeng;Sulawesi Selatan;rs
RSU Enrekang;Jl. Jend Sudirman Enrekang;A;C;Enrekang;Sulawesi Selatan;rs
RSB St Fatimah;Jl. Gn Merapi No. 73 Makassar;O;B;Makassar;Sulawesi Selatan;rs
RS Fatima Makale;Jl. Nusantara No.18 Makale Tator;A;C;Tana Toraja;Sulawesi Selatan;rs
RSU Sinjai;Jl. Jend Sudirman No. 47 Sinjai;A;c;Sinjai;Sulawesi Selatan;rs
RSU Nene Mallomo;Jl. Wolter Monginsidi Rappang;A;C;Sidenreng Rappang;Sulawesi Selatan;rs
RSU Andi Jemma Masamba;Jl. Sultan Hasanuddin No.23, Masamba Luwu Utara;A;C;Luwu;Sulawesi Selatan;rs
RSIA Chaterine Booth;Jl. Arief Rate No.15 Makassar;O;B;Makassar;Sulawesi Selatan;rs
RSUD Batara Guru;Jl. Tomakaka - Lebani Kab. Luwu;A;D;Luwu;Sulawesi Selatan;rs
RSIA Pertiwi Makasar;Jl. Jend.Sudirman No.14, Makasar;O;B;Makasar;Sulawesi Selatan;rs
RSU Selayar;Jl. Dr Wahidin S No. 23 Selayar;A;C;Selayar;Sulawesi Selatan;rs
RSUD Lanto Daeng Pasewang/Jeneponto;Jl. Kesehatan No. 8 Bonto Sunggu;A;C;Jeneponto;Sulawesi Selatan;rs
RSU H. Pajonga Dg.Ngale Takalar;Jl. Incesuhsan No.1 Dg, Parani Takalar;A;C;Takalar;Sulawesi Selatan;rs
Rumkit Tk.IV Dr. M Yasin Bone;Jl. Jend Sudirman Watampone;A;4;Bone;Sulawesi Selatan;rs
RSU Salewangeng Maros;Jl. Ujung Pandang KM 3 Maros;A;C;Maros;Sulawesi Selatan;rs
RS Dr. Dody Saryoto;Lanu Hasanudin Maros;A;4;Maros;Sulawesi Selatan;rs
RSU Pangkep;Jl. Sultan Hasanudin 7 Pangkajene;A;C;Pangkep;Sulawesi Selatan;rs
RSU Barru;Jl. Lasawedi Kel.Coppo Kec.Barru Kab.Barru;A;D;Barru;Sulawesi Selatan;rs
RSU Ajapange Soppeng;Jl. Samudra No.4 Watansoppeng;A;C;Barru;Sulawesi Selatan;rs
RSU Lamadukeleng Sengkang;Jl. K.Chandra Kirana Sengkang;A;C;Wajo;Sulawesi Selatan;rs
RSU Lasinrang Pinrang;Jl. Macan No. 9 Pinrang;A;C;Pinrang;Sulawesi Selatan;rs
RSU Lakipadada Tana Toraja;Jl. Pongtiku Mandetek Tana Toraja;A;C;Tana Toraja;Sulawesi Selatan;rs
RSUD I Lagaligo;Jl. Sangkuruwira,Kec.Wotu Kab.Luwu Timur;A;C;Luwu Timur;Sulawesi Selatan;rs
RSU Labuang Baji;Jl. Dr. Ratulangi No.81 Makassar;A;B;Makassar;Sulawesi Selatan;rs
Rumkit Tk.II Pelamonia;Jl. Jend Sudirman No.27,Makassar;A;2;Makassar;Sulawesi Selatan;rs
RS Kepolisian Bhayangkara;Jl. Letjen Mapaodang Makassar;A;3;Makassar;Sulawesi Selatan;rs
RS Lanal Makassar;Jl. Satando Makassar;A;4;Makassar;Sulawesi Selatan;rs
RSU Dr W Sudirohusodo UP;Jl. P Kemerdekaan Km.11,Makasar;A;A;Makassar;Sulawesi Selatan;rs
RSU Haji Makassar;Jl. Dg. Ngeppe 14 Makassar;A;C;Makassar;Sulawesi Selatan;rs
RSUD Daya;Jl. Perintis Kemerdekaan No. 14,Makasar;A;C;Makassar;Sulawesi Selatan;rs
RS Dim 1402 Pare-Pare;Jl. Karaeng Burane No.24 Pare Pare;A;4;Pare Pare;Sulawesi Selatan;rs
RSU Andi Makkasau Pare2;Jl. Nurussamawaty No.3 Pare-Pare;A;B;Pare Pare;Sulawesi Selatan;rs
RSU Anuntaloko Parigi;Jl. Sis Al Jufri No.214 Parigi;A;C;Donggala;Sulawesi Tengah;rs
RSUD Banggai;Jl. KM 7.Adean Kabupaten Banggai Kepulauan;A;C;Banggai;Sulawesi Tengah;rs
Rumkit Bhayangkara Palu;Jl. Lorong Suharso 1 No.30, Palu;A;4;Palu;Sulawesi Tengah;rs
RSB Masyita;Jl. Camba Jawayya No.24 Tello Baru, Makasar;C;C;Makasar;Sulawesi Selatan;rs
RSU Prof.Dr. R.D Kandou Manado;Jl. Raya Tanawangko No.56, Manado;A;B;Manado;Sulawesi Utara;rs
RSUD Kota Kotamobagu;Kelurahan Pobundayan Kecamatan Kotamobagu Selatan;A;D;Kotamobagu;Sulawesi Utara;rs
RSU Ratatotok - Buyat;Dr. Vally Ch. H. Ratulangi (Plh);A;D;Pemkab Minahasa Tenggara;Sulawesi Utara;rs
RSUD Maria Walanda Maramis;Jl. Prof. Arnold Mononutu - Kel.Sarongsong II - Airmadidi;A;D;Minahasa Utara;Sulawesi Utara;rs
RSU Datoe Binangkang;Jl. Ade Irma Kotamubagu;A;C;Bolaang Mengondow;Sulawesi Utara;rs
RSU Dr.Sam Ratulangi;Noogan Langowan Kab Minahasa;A;C;Minahasa;Sulawesi Utara;rs
RS Bethesda GMIM Tomohon;Jl. Raya Tomohon;A;C;Minahasa;Sulawesi Utara;rs
RS TK.Teling Manado;Jl. 14 Februari Telling Atas,Manado;A;3;Manado;Sulawesi Utara;rs
RS Jiwa Manado;Jl. Bethesda 77 Manado;B;A;Manado;Sulawesi Utara;rs
RS Bhayangkara Manado;Jl. Sam Ratulangi No.154,Manado;A;4;Manado;Sulawesi Utara;rs
RS AL Bitung;Jl. Yos Sudarso No. 26 Bitung;A;4;Bitung;Sulawesi Utara;rs
RSU Bitung;Jl. SH Sarundayang Kota Bitung;A;C;Bitung;Sulawesi Utara;rs
RS Ibnu Sina Padang Panjang;Jl. Sukarno. Hatta,Padang Panjang;A;D;Sumbawa Barat;Sumatera Barat;rs
RSU Sungai Dareh;Jl. LTS Sumatera KM 2, P. Punjung;A;C;Dharmas Raya;Sumatera Barat;rs
RS Jiwa Puti Bungsu;Jl. H.Agus Salim No.36,Padang;RS Jiwa;D;Kota Padang;Sumatera Barat;rs
RS PT Semen Padang;Komp.PT Semen Indarung,Padang;RSU;D;Kota Padang;Sumatera Barat;rs
RS Islam Ibnu Sina;Ds.Simpang Ampat Kab.Pasaman;A;D;Pasaman;Sumatera Barat;rs
RS Ibnu Sina Bukittinggi;Jl. Belakang Balok,Bukittinggi;A;C;Bukittinggi;Sumatera Barat;rs
RSUD Dr Adnaan WD;Jl. AIS Nasution 25,Payakumbuh;A;C;Payakumbuh;Sumatera Barat;rs
RSU Sawah Lunto;Jl. Kartini No.18,Sawah Lunto;A;C;Sawah Lunto;Sumatera Barat;rs
RSU Lubuk Basung;Jl. M.Hatta Padang Baru,Lubuk Basung;A;C;Agam;Sumatera Barat;rs
RSB An-Nisa;Jl. Pemuda No.18,Padang;C;c;Padang;Sumatera Barat;rs
RSU Dr. M.Jamil;Jl. Perintis Kemerdekaan Padang;A;B;Padang;Sumatera Barat;rs
RSUD Lukas Hilisimaetano;Kabupaten Nias Selatan;A;D;Nias Selatan;Sumatera Utara;rs
RSUD Kep. Mentawai;Jl. Raya Tuapejat KM.9 - Sipora Utara;A;C;Mentawai;Sumatera Barat;rs
RSU Muara Labuh;Jl. Raya Km.1,Muara Labuh Solok;A;D;Solok;Sumatera Barat;rs
RSUD Arosuka,Solok;Jl. Lintas Sumatera Aro Suka Solok,Kab.Solok;A;C;Solok;Sumatera Barat;rs
RSU Prof Dr M.A Hanafiah;Jl. Bundo Kandung Batusangkar;A;C;Tanah Datar;Sumatera Barat;rs
RSU Pariaman;Jl. Prof M Yamin SH,Pariaman;A;C;Padang Pariaman;Sumatera Barat;rs
RSU Suliki;Jl. Tan Malaka No.1, Kec.Suliki;A;D;Limapuluh Kota;Sumatera Barat;rs
RSU Lubuk Sikaping;Jl. Jen Sudirman No.33,Lubuk Sikaping;A;C;Pasaman;Sumatera Barat;rs
RSUD Pasaman Barat;Pemkab. Pasaman Barat;A;C;Pasaman Barat;Sumatera Barat;rs
Rumkit Tk III Reksodiwiryo Padang;Jl. Dr Wahidin No.1,Padang;A;3;Padang;Sumatera Barat;rs
RS Islam IIbnu Sina;Jl. Gajah Mada,Padang;A;C;Padang;Sumatera Barat;rs
RS Bhayangkara Sumbar;Jl. Jati No.I Padang;A;4;Padang;Sumatera Barat;rs
RS Jantung Sumbar;Jl. Khatib Sulaiman No.71,Padang;L;D;Padang;Sumatera Barat;rs
RSUD Solok;Jl. Simpang Rumbio,Solok;A;C;Sawah Lunto;Sumatera Barat;rs
RSU Padang Panjang;Jl. KHA Dahlan 5,Pdg Panjang;A;C;Padang Panjang;Sumatera Barat;rs
RSU Dr. Achmad Mochtar;Jl. Dr. A.Rivai Bukittinggi;A;B;Bukittinggi;Sumatera Barat;rs
Rumkit Tk IV Bukit Tinggi;Jl. Jen Sudirman 37,Bukittinggi;A;4;Bukittinggi;Sumatera Barat;rs
RS Stroke Nasional Bukittinggi;Jl. Jend Sudirman,Bukittinggi;N;B;Bukittinggi;Sumatera Barat;rs
RSU Dr. Mohammad Hoesin;Jl. Jend.Sudirman KM 3.5,Palembang;A;A;Kota Palembang;Sumatera Selatan;rs
RS Charitas;Jl. Sudirman 1054,Palembang;A;B;Kota Palembang;Sumatera Selatan;rs
RSUD Dr. Ibnu Sutowo Baturaja;Jl. Dr. Moh.Hatta No.1,Baturaja;A;C;Ogan Komering Ulu;Sumatera Selatan;rs
RSU Dr. Sobirin Musirawas;Jl. Yos Sudarso No.13,Lubuk Linggau;A;C;Musi Rawas;Sumatera Selatan;rs
RSUD Lebong;Jl. Muning Agung Desa Muning Agung Kec. Lebong Sakti;A;D;Lebong;Bengkulu;rs
RS Bukit Asam;Jl. Raya Bukit Asam,Tanjung Enim;A;C;Muara Enim;Sumatera Selatan;rs
Rumkit Tk IV Lahat;Jl. Mayor Ruslan I No.26,Lahat;TNI-AD;D;Lahat;Sumatera Selatan;rs
RSUD Talang Ubi;Jl. Taman Siswa Kel.Pasar Bhayangkara;A;D;Muara Enim;Sumatera Selatan;rs
RSUD Basemah Kota Pagar Alam;Jl. S.Parman Pagar Alam,Lahat;A;C;Lahat;Sumatera Selatan;rs
RS Siti Khadijah;Jl. Demang Lebar Daun,Palembang;A;C;Palembang;Sumatera Selatan;rs
RSUD Sungai Lilin;Kec.Sungai Lilin Kab.Musi Banyuasin;A;D;Musi Banyuasin;Sumatera Selatan;rs
RSUD Bayung Lencir;Jl raya Palembang-Jambi KM 200 Kec, bayung Lencir;A;D;Musi Banyuasin;Sumatera Selatan;rs
RSUD Oku Timur (Gumawang);Jl. Mayjen Warsito Kec.Belitung,Gumawang;A;C;Ogan Komering Ulu;Sumatera Selatan;rs
RSU Kayuagung;Jl. Letnan Marzuki,Kayu Agung;A;C;Ogan Komering Ilir;Sumatera Selatan;rs
RSU Muara Enim;Jl. Dr AK Gani No.84,Muara Enim;A;C;Muara Enim;Sumatera Selatan;rs
RSU Lahat;Jl. Mayor Ruslan I No. 28,Lahat;A;C;Lahat;Sumatera Selatan;rs
RSUD Siti Aisyiah;Jl. Lapter Silampari Kel.Air Kuti,Lubuk Linggau Timur;A;D;Lubuk Linggau;Sumatera Selatan;rs
RSUD Kab.Musi Rawas;Kab.Musi Rawas,Sumsel;A;D;Musi Rawas;Sumatera Selatan;rs
RSU Sekayu;Jl. Kolonel Wahid Udin,Sekayu;A;C;Musi Banyuasin;Sumatera Selatan;rs
RSUD Banyuasin;Jl. Raya Palembang - Betung Km.48,Pangkalan Bali Banyuasin;A;D;Banyuasin;Sumatera Selatan;rs
Rumkit Tk II Dr. AK Gani Palembang;Jl. S M Badaruddin II,Palembang;A;2;Palembang;Sumatera Selatan;rs
RS Jiwa Palembang;Jl. Kol.H. Barlian Km 6,Palembang;B;A;Palembang;Sumatera Selatan;rs
RSUD Palembang Bari;Jl. P. Usaha Seb Ulu,Palembang;A;B;Palembang;Sumatera Selatan;rs
RS Khusus Paru-Paru Pro.Sumatera Selatan;Jl. Merdeka No.10,Palembang;F;B;Palembang;Sumatera Selatan;rs
RS Khusus Mata Masyarakat;Jl. Merdeka No.10 A,Palembang;D;B;Palembang;Sumatera Selatan;rs
RSUD Kota Agung;Jl. Sukarno Hatta Komplek Islamic Centre Kotaagung,Kab.Tanggamus;A;D;Tanggamus;Lampung;rs
RSU Kabanjahe;Jl. KS.Ketaren 8, Kabanjahe;A;C;Karo;Sumatera Utara;rs
RS Dr Gerhard ML Tobing;Desa Buntu Bedimbar Tanjung Morawa Deli Serdang;C;3;Deli Serdang;Sumatera Utara;rs
RS Vita Insani;Jl. Merdeka No.239, Pematang Siantar;rsu;C;Kota Pematang Siantar;Sumatera Utara;rs
RSU Permata Madina;Jl. Merdeka No. 155 Panyabungan;A;C;Mandailing Natal;Sumatera Utara;rs
RSUD Natal;Jl. Multatuli No. 72,Kab.Mandailing Natal;A;C;Mandailing Natal;Sumatera Utara;rs
RSU Delia;Jl. K.H. Dewantara No.24 Kec. Selesai Kabupaten Langkat;A;D;Langkat;Sumatera Utara;rs
RS Gleneagles Medan;Jl. Listrik No.2A,Medan;A;B;Kota Medan;Sumatera Utara;rs
RSU Dr Pirngadi;Jl. Prof H M Yamin SH 47, Medan;A;B;Kota Medan;Sumatera Utara;rs
RSUD.Dr. H.Kumpulan Pane;Jl. Dr. K. Pane Tebing Tinggi;A;B;Tebing Tinggi;Sumatera Utara;rs
RS Sari Mutiara;Jl. Kapten Muslim 79,Medan;A;B;Medan;Sumatera Utara;rs
RSU Trianda;Jl. Medan - Tebing Tinggi Km.42,5 No.752 B Ds.Bengkel Kec. Perbaungan Serdang B More ...;A;D;Serdang;Sumatera Utara;rs
RSU Gunung Sitoli;Jl. Cipto M Kusumo,Gn Sitoli;A;C;Nias;Sumatera Utara;rs
RSU Padang Sidempuan;Jl. Dr. F.L. Tobing,Pd Sidempuan;A;B;Tapanuli Selatan;Sumatera Utara;rs
RSU Panyabungan;Jl. Merdeka No.40,Panyabungan;A;C;Tapanuli Selatan;Sumatera Utara;rs
RSU Sipirok;Jl. RSU No.1,Sipirok Tapsel;A;C;Tapanuli Selatan;Sumatera Utara;rs
RSUD Gunung Tua;Kab.Tapanuli Selatan;A;C;Tapanuli Selatan;Sumatera Utara;rs
RSUD Sibuhuan;Kec.Burumun Kab.Tap.Sel;A;C;Tapanuli Selatan;Sumatera Utara;rs
RSUD Pandan;Jl. Imam Bonjol,Kab.Tapanuli Tengah;A;C;Tapanuli Tengah;Sumatera Utara;rs
RSU Tarutung;Jl. Bin Harun Said Tarutung;A;B;Tapanuli Utara;Sumatera Utara;rs
RSU Dr Hadrianus Sinaga;Jl. Dr Hadrianus S Pangururan;A;C;Tapanuli Utara;Sumatera Utara;rs
RSU Dolok Sanggul;Jl. Kesehatan Dolok Sanngul;A;D;Tapanuli Utara;Sumatera Utara;rs
RSU Porsea;Jl. Parparean Porsea Kab,Taput;A;C;Tapanuli Utara;Sumatera Utara;rs
RS HKBP Balige;Jl. Gereja No.17,Balige;A;C;Tapanuli Utara;Sumatera Utara;rs
RSU Rantau Prapat;Jl. KH Dewantara Rantau Prapat;A;B;Labuhan Batu;Sumatera Utara;rs
RSU H.Abd.Manan Simatupang, Kisaran;Jl. Sisingamangaraja Kisaran;A;C;Asahan;Sumatera Utara;rs
RSUD Simalungun;Kabupaten Simalungun;A;C;Simalungun;Sumatera Utara;rs
RSU Sidikalang;Jl. Rumah Sakit 19,Sidikalang;A;C;Dairi;Sumatera Utara;rs
RS Sembiring;Jl. Besar No.77, Deli Tua;A;C;Deli Serdang;Sumatera Utara;rs
RS Nur Saadah;Tanjung Morawa Km.12,Deli Serdang;A;C;Deli Serdang;Sumatera Utara;rs
RSUD Sultan Sulaiman Syariful Alamsyah;Kabupaten Serdang Bedagai;A;C;Deli Serdang;Sumatera Utara;rs
RSU Tanjung Pura;Jl. Khairil Anwar Tanjung Pura;A;C;Langkat;Sumatera Utara;rs
RSU Dr Fl Tobing Sibolga;Jl. Dr. FL. Tobing 35,Sibolga;A;B;Tapanuli Tengah;Sumatera Utara;rs
Rumkitban Sibolga;Jl. Anggrek No.6,Sibolga;A;4;Tapanuli Tengah;Sumatera Utara;rs
BPRSU Dr. Tengku Mansyur;Jl. Mayjen Sutoyo Tanjung Balai;A;C;Tanjung Balai;Sumatera Utara;rs
RSUD.Dr. Djasaman Saragih;Jl. Sutomo No. 230,P Siantar;A;B;Pematang Siantar;Sumatera Utara;rs
Rumkit Tk IV Pematang Siantar;Jl. Gn Simanuk Manuk,P Siantar;A;4;Pematang Siantar;Sumatera Utara;rs
Rumkit Tk II Putri Hijau Medan;Jl. Putri Hijau 17,Medan;A;2;Medan;Sumatera Utara;rs
Rumkit Bhayankara Medan;Jl. KH Wahid Hasyim No.1, Medan;A;2;Medan;Sumatera Utara;rs
RS AL Belawan;Jl. Bengkalis Belawan No.1,Medan;A;3;Medan;Sumatera Utara;rs
RS Lanu Dr ABD Malik;Jl. Imam Bonjol No.1,Medan;A;4;Medan;Sumatera Utara;rs
RS Jiwa Medan;Jl. Tali Air 21 Padang Bulan,Medan;B;A;Medan;Sumatera Utara;rs
RSU Mitra Sejati;Jl. Jend.AH Nasution No.7 Pangkalan Masyhur Medan;A;C;Medan;Sumatera Utara;rs
RS Martha Friska;Jl. Yos Sudarso Km.6 No. 91,Medan;A;B;Medan;Sumatera Utara;rs
RSU H Adam Malik;Jl. Bunga Lau No.17,Medan;A;A;Medan;Sumatera Utara;rs
RS Prof.Dr. Boloni;Jl. Monginsidi No.11,Medan;A;C;Medan;Sumatera Utara;rs
RSU Haji Medan;Jl. RS. Haji Medan Estate,Medan;A;C;Medan;Sumatera Utara;rs
RSU Muhammadiyah Sumatera Utara;Jl. Mandala By Pass No.27,Medan;A;C;Medan;Sumatera Utara;rs
Rumkit Tk IV 01.07.02 Binjai;Jl. Bandung No.4,Binjai;A;3;Binjai;Sumatera Utara;rs
RS Tingkat IV 01.07.03;Jl. Raya Losung Batu,Padang Sidempuan;A;4;Padang Sidempuan;Sumatera Utara;rs
RS Ibu dan Anak Propinsi NAD;Jl. Prof.A.Majid Ibrahim I,Banda Aceh;O;B;Banda Aceh;Nanggroe Aceh Darussalam;rs
RSUD Simeulue;Kab.Simeulue;Umum;C;Simeulue;Nanggroe Aceh Darussalam;rs
RSU Datu Beru Takengon;Jl. Rumah Sakit Takengon;A;B;Aceh Tengah;Nanggroe Aceh Darussalam;rs
RSUD Sigli;Jl. Prof.Majid Ibrahim Sigli;A;C;Pidie;Nanggroe Aceh Darussalam;rs
RSU Dr. H.Yulidin Away;Jl. T.Ben Mahmud No.86 A, Meulaboh;A;C;Aceh Selatan;Nanggroe Aceh Darussalam;rs
RSU Cut Meutia;Jl. Garuda Kebun Baru,Langsa;A;D;Langsa;Nanggroe Aceh Darussalam;rs
RSU Cut Meutia Lhoksemawe;Jl. Banda Aceh-Medan Km.6 Buket Rata Lhokseumawe;A;C;Bireuen;Nanggroe Aceh Darussalam;rs
RSU Dr. Fauziah Bireun;Jl. RSU No.13. Bireuen;A;C;Bireuen;Nanggroe Aceh Darussalam;rs
Rumkit Tk IV Lhokseumawe Aceh Utara;Jl. Samudra Lhokseumawe AUT;A;4;Bireuen;Nanggroe Aceh Darussalam;rs
RSUD Tamiang;Jl. Kesehatan,Kab.Aceh Tamiang;A;C;Aceh Tamiang;Nanggroe Aceh Darussalam;rs
RSUD Bener Meriah;Simpang Empat Kute Kering Kampung Kute Lintang Kec.Bukit Kab.Bener Meriah;A;D;Bener Meriah;Nanggroe Aceh Darussalam;rs
RSU Langsa;Jl. Ahmad Yani No.1,Langsa;A;B;Aceh Timur;Nanggroe Aceh Darussalam;rs
RSUD Aceh Singkil;Jl. Rimo/Singkil Km.8;A;C;Aceh Singkil;Nanggroe Aceh Darussalam;rs
RSU Kutacane;Jl. Blang Kejeran Kutacane;A;C;Aceh Tenggara;Nanggroe Aceh Darussalam;rs
RS Pertamina Rantau;Jl. Cepu Rantau Kab. Aceh Timur;A;C;Aceh Timur;Nanggroe Aceh Darussalam;rs
RSUD Idi Rayeuk;Kabupaten Aceh Timur;A;D;Aceh Timur;Nanggroe Aceh Darussalam;rs
RSU Cut Nyak Dhien;Jl. Gajah Mada Meulaboh;A;C;Aceh Barat;Nanggroe Aceh Darussalam;rs
RSU Kota Jantho;Jl. Transmigrasi I Kota Jantho;A;C;Aceh Besar;Nanggroe Aceh Darussalam;rs
RSUD Kab.Aceh Barat Daya;Blang Pidie,Aceh Barat Daya;A;C;Aceh Barat Daya;Nanggroe Aceh Darussalam;rs
RSUD Nagan Raya;Jl. Nasional Km.28,5 Ujung Patihah;A;C;Nagan Raya;Nanggroe Aceh Darussalam;rs
RSU Dr. Zainoel Abidin;Jl. Tgk Daud Beureueh,B Aceh;A;B;Banda Aceh;Nanggroe Aceh Darussalam;rs
Rumkit Tk III Banda Aceh;Jl. Kesehatan Banda Aceh;A;3;Banda Aceh;Nanggroe Aceh Darussalam;rs
RS Jiwa Banda Aceh;Jl. Syarief Thayeb,Banda Aceh;B;A;Banda Aceh;Nanggroe Aceh Darussalam;rs
RSU Meuraxa;Banda Aceh;A;C;Banda Aceh;Nanggroe Aceh Darussalam;rs
Rumkit Bhayangkara Banda Aceh;Jl. Cut Nyak Dhien Lamtemen No.1,Banda Aceh;A;4;Banda Aceh;Nanggroe Aceh Darussalam;rs
RSU Sabang;Jl. Teuku Umar Sabang;A;D;Sabang;Nanggroe Aceh Darussalam;rs
